algo,heuristic,k,trial,time_ms,nodes_expanded,max_stored,cost
GBFS,Manhattan,5,1,10.000,6,19,5
GBFS,Euclidean,5,1,0.000,6,19,5
AStar,Manhattan,5,1,3.000,6,19,5
AStar,Euclidean,5,1,0.000,6,19,5
GBFS,Manhattan,5,2,0.000,6,19,5
GBFS,Euclidean,5,2,0.000,6,19,5
AStar,Manhattan,5,2,0.000,6,19,5
AStar,Euclidean,5,2,0.000,6,19,5
GBFS,Manhattan,5,3,0.000,6,19,5
GBFS,Euclidean,5,3,0.000,6,19,5
AStar,Manhattan,5,3,0.000,6,19,5
AStar,Euclidean,5,3,0.000,6,19,5
GBFS,Manhattan,5,4,0.000,6,19,5
GBFS,Euclidean,5,4,0.000,6,19,5
AStar,Manhattan,5,4,0.000,6,19,5
AStar,Euclidean,5,4,0.000,6,19,5
GBFS,Manhattan,5,5,0.000,6,19,5
GBFS,Euclidean,5,5,0.000,7,20,5
AStar,Manhattan,5,5,0.000,6,19,5
AStar,Euclidean,5,5,0.000,7,20,5
GBFS,Manhattan,10,1,2.000,82,187,36
GBFS,Euclidean,10,1,0.000,16,43,12
AStar,Manhattan,10,1,0.000,13,36,10
AStar,Euclidean,10,1,0.000,21,54,10
GBFS,Manhattan,10,2,0.000,11,32,10
GBFS,Euclidean,10,2,0.000,12,33,10
AStar,Manhattan,10,2,0.000,11,32,10
AStar,Euclidean,10,2,0.000,12,33,10
GBFS,Manhattan,10,3,0.000,11,28,10
GBFS,Euclidean,10,3,0.000,11,28,10
AStar,Manhattan,10,3,0.000,11,28,10
AStar,Euclidean,10,3,0.000,11,28,10
GBFS,Manhattan,10,4,0.000,11,32,10
GBFS,Euclidean,10,4,2.000,269,648,46
AStar,Manhattan,10,4,0.000,11,32,10
AStar,Euclidean,10,4,0.000,14,37,10
GBFS,Manhattan,10,5,2.000,523,1196,56
GBFS,Euclidean,10,5,2.000,390,885,56
AStar,Manhattan,10,5,0.000,23,58,10
AStar,Euclidean,10,5,0.000,23,58,10
GBFS,Manhattan,15,1,0.000,36,95,25
