k,trial,state,cost_found,nodes_expanded,time_sec
2,1,1234#6758,2,3,0.000219900
2,2,1234#6758,2,3,0.000186900
2,3,1234#5786,2,5,0.000222000
2,4,1234#5786,2,5,0.000288500
2,5,1234#6758,2,3,0.000235700
4,1,#13426758,4,12,0.000276700
4,2,13#425786,4,14,0.000263600
4,3,#23156478,4,8,0.000214100
4,4,#12453786,4,15,0.000331700
4,5,123485#76,4,14,0.000299200
6,1,1624#3758,6,44,0.000460800
6,2,15243678#,6,37,0.000486700
6,3,#12463758,6,50,0.000375500
6,4,15#432786,6,37,0.000348400
6,5,1238#5476,6,60,0.000440400
8,1,23514678#,8,100,0.000548400
8,2,243716#58,8,102,0.000526100
8,3,12#743865,8,100,0.000523300
8,4,42#513786,8,134,0.000447000
8,5,41275386#,8,147,0.000654300
10,1,542713#86,10,277,0.001028300
10,2,5821#3476,10,339,0.001395300
10,3,62#143758,10,406,0.001331400
10,4,13842576#,10,275,0.000903900
10,5,#82143765,10,309,0.000945100
12,1,152764#83,12,1033,0.002808500
12,2,712563#48,12,770,0.001984500
12,3,51246378#,12,1066,0.002565400
12,4,#13468275,12,774,0.011328000
12,5,41#762583,12,762,0.001251500
14,1,15#762834,14,1973,0.002902600
14,2,#51342786,14,2528,0.002282200
14,3,#23658147,14,2576,0.005458400
14,4,5164#2738,14,2769,0.004192900
14,5,#26735148,14,2553,0.001257600
16,1,41237865#,16,6661,0.010221200
16,2,1234#6875,16,7451,0.006806700
16,3,4182#5763,16,7854,0.005837600
16,4,#21483756,16,4850,0.002731700
16,5,5134#2867,16,9034,0.004703300
18,1,#75623148,18,12933,0.007425800
18,2,251743#68,18,13688,0.019866600
18,3,72413658#,18,14370,0.008716600
18,4,5123#6748,18,15354,0.007994800
18,5,613452#78,18,16151,0.015590700
20,1,63852714#,20,27665,0.017219100
20,2,36728145#,20,36004,0.026586700
20,3,15#832647,20,28510,0.011505700
20,4,24613857#,20,27380,0.010971100
20,5,65#328417,20,37349,0.017024400
